[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [UNDERLYING_LAST], [EXPIRE_DATE], [EXPIRE_UNIX], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.97117,0.00284,0.00966,-0.28224,0.00776,51,39.59, 45 x 11,39.35,39.65,180,0.02,0.03, 52 x 39,0.03,-0.00466,0.00084,0.00165,-0.02542,0,527,39.2,0.179
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.96816,0.0035,0.01082,-0.2809,0.00805,11,35.49, 19 x 45,34.35,34.65,185,0.02,0.03, 419 x 2,0.03,-0.00499,0.00098,0.00208,-0.02465,0,240,34.2,0.156
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.96439,0.00444,0.01236,-0.27917,0.00856,34,29.3, 45 x 18,29.35,29.65,190,0.03,0.04, 128 x 101,0.03,-0.00805,0.00162,0.00316,-0.03562,0,608,29.2,0.133
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.95357,0.00621,0.01482,-0.32219,0.00896,100,25.21, 10 x 47,24.45,24.65,195,0.04,0.05, 306 x 1,0.04,-0.01083,0.00263,0.00406,-0.04479,-0.00015,608,24.2,0.11
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.94478,0.00865,0.01714,-0.31761,0.00922,446,19.7, 46 x 5,19.45,19.65,200,0.06,0.07, 623 x 7,0.07,-0.01828,0.00456,0.00701,-0.06326,-0.00063,5707,19.2,0.088
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.93569,0.01077,0.0189,-0.33682,0.00846,96,16.85, 10 x 10,17,17.15,202.5,0.08,0.09, 333 x 274,0.09,-0.02485,0.00646,0.00911,-0.08199,-0.00067,1625,16.7,0.076
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.92446,0.01362,0.02193,-0.35339,0.00919,100,14, 10 x 11,14.5,14.7,205,0.11,0.12, 332 x 1,0.11,-0.035,0.00942,0.01162,-0.11079,-0.0007,2727,14.2,0.065
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.90396,0.01811,0.02557,-0.40858,0.00924,112,12.45, 10 x 18,12.1,12.25,207.5,0.17,0.19, 210 x 50,0.17,-0.05468,0.01461,0.01683,-0.16837,-0.00022,1502,11.7,0.053
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.87379,0.02469,0.031,-0.47287,0.00899,878,9.9, 10 x 17,9.7,9.85,210,0.29,0.3, 179 x 4,0.28,-0.08872,0.02265,0.02433,-0.26099,-0.00087,15488,9.2,0.042
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.82282,0.03449,0.03957,-0.58362,0.00808,500,7.8, 17 x 12,7.4,7.55,212.5,0.51,0.54, 118 x 41,0.5,-0.14958,0.03473,0.03536,-0.41836,-0.00198,10730,6.7,0.031
